DATE,Open,High,Low,Close,Adj Close,Volume
371,10508.7002,10558.84961,10474.9502,10488.4502,10488.4502,381300
372,10350.04981,10567.15039,10333.84961,10549.15039,10549.15039,425500
373,10591,10752.2002,10560.79981,10737.59961,10737.59961,360500
374,10810.75,10838.59961,10749.5,10791.54981,10791.54981,376200
375,10784.5,10815.75,10752.09961,10805.4502,10805.4502,340100
376,10853.2002,10900.34961,10844.84961,10888.34961,10888.34961,296900
377,10850.90039,10915.40039,10819.09961,10908.7002,10908.7002,286100
378,10930.54981,10985.15039,10928,10967.29981,10967.29981,312100
379,10885.2002,10962.54981,10880.04981,10951.7002,10951.7002,318900
380,10944.25,10963.65039,10738.65039,10754,10754,377500
381,10780.90039,10782.29981,10649.25,10663.5,10663.5,223400
382,10635.4502,10747.5,10534.54981,10729.84961,10729.84961,263700
383,10817.90039,10834.2002,10764.4502,10779.79981,10779.79981,456100
384,10820.9502,10893.59961,10817.15039,10859.90039,10859.90039,245500
385,10913.2002,10923.54981,10853.2002,10862.54981,10862.54981,180900
386,null,null,null,null,null,null
387,10868.84961,10895.34961,10735.04981,10792.5,10792.5,309700
388,10796.79981,10814.04981,10661.25,10672.25,10672.25,286200
389,10699.7002,10741.04981,10628.65039,10727.34961,10727.34961,296600
390,10804.84961,10835.9502,10750.15039,10771.79981,10771.79981,269400
391,10786.25,10818.4502,10733.25,10802.15039,10802.15039,277700
392,10862.40039,10870.40039,10749.40039,10855.15039,10855.15039,333000
393,10859.34961,10859.34961,10801.79981,10821.59961,10821.59961,254400
394,10834.75,10850.15039,10739.40039,10794.9502,10794.9502,260800
395,10807,10808,10692.34961,10737.59961,10737.59961,298800
396,10777.54981,10896.9502,10777.54981,10886.79981,10886.79981,310700
397,10899.65039,10928.15039,10876.90039,10890.29981,10890.29981,276500
398,10920.84961,10930.65039,10844.65039,10905.2002,10905.2002,271700
399,10914.84961,10928.2002,10852.2002,10906.9502,10906.9502,323800
400,10919.34961,10987.4502,10885.75,10961.84961,10961.84961,288800
401,10949.79981,10949.79981,10864.15039,10922.75,10922.75,300800
402,10931.04981,10944.79981,10811.9502,10831.5,10831.5,298900
403,10844.04981,10866.59961,10798.65039,10849.79981,10849.79981,361100
404,10859.75,10931.7002,10756.4502,10780.54981,10780.54981,463400
405,10792.4502,10804.4502,10630.9502,10661.54981,10661.54981,419700
406,10653.7002,10690.34961,10583.65039,10652.2002,10652.2002,356900
